GeneMarker
CD14
ITGAM
FCGR3A
FCGR3B
CSF3R
FUT4
HBA1
HBA2
HBB
GNLY
NCAM1
MKI67
TUBA1B
PTPRC
CD3G
CCR7
CD4
CD8A
PLD4
IL3RA
CCR2
LILRA4
CD19
CD27
IGD
MZB1
CD38
SLAMF7
CD34
ITGA4
TUBA1A
ITGA2B
TUBB1
TREML1
GP9
