HK_Hs
ACTB
GAPDH
PGK1
PPIA
RPL13A
RPLP0
ARBP
B2M
YWHAZ
SDHA
TFRC
GUSB
HMBS
HPRT1
TBP




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































